place_id,keywords
ChIJ4aE2qlHr3TURGVbh65Epc9Q,"['乾淨', '服務', '喜歡', '這裡', '房間', '服务员', '热情', '环境']"
ChIJAQDDLRjr3TUR1bjrVPzA06w,[]
ChIJLQqkEFfq3TUR0Thy0STvpc4,[]
ChIJ9y9It0Xq3TURGJCTrYO4LNs,[]
ChIJwUfDk5Hr3TURGYgAl3XOTkg,[]
ChIJhYwKhv7q3TURuwNmWT924f4,[]
ChIJzWzs3jDr3TURKfOsvdeYAnE,[]
ChIJd0zryCDr3TURD60BS6UIafg,[]
ChIJ-SYPLCbr3TURgA2UMECbaFI,[]
ChIJ-Ubg-uPq3TURIzPjhi6ZyPw,[]
ChIJU32eU66pQjQRqImQdHgPb3Y,"['飯店', '電梯', '還有', '房間', '枕頭', '聲音', '入住', '這個', '地點', '樓層']"
ChIJT0dzj7OpQjQRgmbLjuqGkjQ,"['房間', '人員', '酒店', '有點', '問題', '不錯', '服務', '選擇', '飯店', '西門']"
ChIJg9LxQnipQjQRBrBVV0fX4OA,"['房間', '飯店', '乾淨', '服務人員', '親切', '早餐', '浴室', '空間', '推薦', '房內']"
ChIJoah5CmCpQjQRt4-5LwM0ViI,"['房間', '無法', '不會', '退房', '入住', '設備', '空調', '12', '還有', '早餐']"
ChIJL-Hq4R-qQjQRpSCBff3-OhE,"['隔音', '房間', '浴室', '考試', '台大', '霉味', '地板', '發出', '聲音', '灰塵']"
ChIJLQAfYZmpQjQRAchTplpMYUI,"['房間', '浴缸', '設備', '維修', '11', '推薦', '帥客', '他們', '按摩', '入住']"
ChIJoQOeU2GpQjQRM1FJp-ZMI84,"['旅館', '確認', '入住', '客人', '房間', '時間', '打電話', '不會', '早餐', '浴缸']"
ChIJNyCIxahU8DURsexYXrywac8,"['飯店', '兩晚', '感應', '不愧', '早餐', '房間', '不錯', '服務員', '沒有', '乾淨']"
ChIJ6VG7XH6r8TURP938ZkKLQDQ,"['friend', 'staff', '停電', '獨立', 'very', 'executive', 'room', 'also', '酒店', '皇冠']"
ChIJ0ZsBCHir8TURYYEHwIEVZMI,"['room', 'air', 'me', 'hotel', 'very', 'conditioning', 'warm', 'Checked', 'too', 'service']"
ChIJdRZmRgVT8DURH794sXw5cMk,"['une', 'est', 'un', 'de', 'le', 'mais', 'elle', 'la', 'et', 'tr']"
ChIJHWpTidlR8DURAdCa7rn6-cE,"['hotel', 'very', '房間', 'staff', 'nThe', 'spacious', 'area', 'Conrad', 'Beijing', 'level']"
ChIJc2vC7N6s8TUR_j6JV9gru3I,"['分鐘', '出發', '大約', '地鐵站', '購物', '酒店', '29', '朝陽站', '東風北橋', '車大約']"
ChIJg4-8DdFS8DUR1aLD0mJrl8M,"['還有', '飯店', '酒店', '房間', '王府井大街', '枕頭', '分鐘', '舒適', '設施', '時尚']"
ChIJPSWGFNCs8TURD6X0lQ2AhZg,"['good', 'di', 'very', 'con', 'la', 'un', 'il', '15', '20', 'service']"
ChIJaXRnSE6r8TURl3Lbx2DKXA4,"['房間', '乾淨', 'hotel', 'buffet', 'breakfast', 'were', 'also', 'staff', 'very', 'warm']"
ChIJhVvEwYOs8TURKCcPX2FbHHU,"['酒店', '一個', '轉餐', '已經', '國外', '賓客', '天氣', '喜歡', '參見', '雖然']"
ChIJi5b48dkW8DURFuJBi_5EzyU,"['運行', 'location', 'Sanlitun', 'chambres', 'avec', '酒店', '酒店客房', '乾淨', '不錯', '什麼']"
ChIJGWii73yr8TURWto1IMTdTT4,"['..', 'hotel', 'service', 'pool', 'were', 'well', 'available', 'Non', 'functioning', 'Wifi']"
ChIJD9chZnVT8DURVF7MQmJ9pdU,"['very', 'hotel', 'staff', 'were', 'me', 'comfortable', 'stay', 'Christmas', 'helpful', 'clean']"
